No	Time	DC/AC	Value	Unit	AUTO
1	17:23:07	DC	-163,9	uA	pass
2	17:23:08	DC	-163,0	uA	pass
3	17:23:08	DC	-162,1	uA	pass
4	17:23:09	DC	-161,3	uA	pass
5	17:23:10	DC	-160,9	uA	pass
6	17:23:10	DC	-160,2	uA	pass
7	17:23:11	DC	-159,6	uA	pass
8	17:23:11	DC	-159,3	uA	pass
9	17:23:12	DC	-158,8	uA	pass
10	17:23:12	DC	-157,9	uA	pass
11	17:23:13	DC	-157,1	uA	pass
12	17:23:14	DC	-155,0	uA	pass
13	17:23:14	DC	-153,1	uA	pass
14	17:23:15	DC	-151,2	uA	pass
15	17:23:15	DC	-150,2	uA	pass
16	17:23:16	DC	-148,3	uA	pass
17	17:23:17	DC	-146,5	uA	pass
18	17:23:17	DC	-144,6	uA	pass
19	17:23:18	DC	-143,7	uA	pass
20	17:23:18	DC	-142,0	uA	pass
21	17:23:19	DC	-140,4	uA	pass
22	17:23:20	DC	-139,6	uA	pass
23	17:23:20	DC	-138,0	uA	pass
24	17:23:21	DC	-136,5	uA	pass
25	17:23:21	DC	-135,7	uA	pass
26	17:23:22	DC	-134,1	uA	pass
27	17:23:23	DC	-132,6	uA	pass
28	17:23:23	DC	-131,8	uA	pass
29	17:23:24	DC	-130,3	uA	pass
30	17:23:24	DC	-128,8	uA	pass
31	17:23:25	DC	-128,1	uA	pass
32	17:23:25	DC	-126,6	uA	pass
33	17:23:26	DC	-125,1	uA	pass
34	17:23:27	DC	-124,4	uA	pass
35	17:23:27	DC	-123,0	uA	pass
36	17:23:28	DC	-122,2	uA	pass
37	17:23:28	DC	-120,8	uA	pass
38	17:23:29	DC	-119,4	uA	pass
39	17:23:30	DC	-118,0	uA	pass
40	17:23:30	DC	-117,3	uA	pass
41	17:23:31	DC	-116,0	uA	pass
42	17:23:31	DC	-114,6	uA	pass
43	17:23:32	DC	-113,8	uA	pass
44	17:23:32	DC	-112,4	uA	pass
45	17:23:33	DC	-111,2	uA	pass
46	17:23:34	DC	-110,6	uA	pass
47	17:23:34	DC	-109,4	uA	pass
48	17:23:35	DC	-108,3	uA	pass
49	17:23:35	DC	-107,6	uA	pass
50	17:23:36	DC	-106,4	uA	pass
51	17:23:36	DC	-105,1	uA	pass
52	17:23:37	DC	-104,5	uA	pass
53	17:23:38	DC	-103,4	uA	pass
54	17:23:38	DC	-102,8	uA	pass
55	17:23:39	DC	-101,6	uA	pass
56	17:23:39	DC	-100,4	uA	pass
57	17:23:40	DC	-099,3	uA	pass
58	17:23:40	DC	-098,7	uA	pass
59	17:23:41	DC	-097,7	uA	pass
60	17:23:42	DC	-096,6	uA	pass
61	17:23:42	DC	-096,0	uA	pass
62	17:23:43	DC	-094,9	uA	pass
63	17:23:43	DC	-094,0	uA	pass
64	17:23:44	DC	-093,5	uA	pass
65	17:23:45	DC	-092,5	uA	pass
66	17:23:45	DC	-091,5	uA	pass
67	17:23:46	DC	-091,0	uA	pass
