No	Time	DC/AC	Value	Unit	AUTO
1	17:57:25	DC	-033,2	V	pass
2	17:57:26	DC	-033,2	V	pass
3	17:57:26	DC	-033,2	V	pass
4	17:57:27	DC	-033,2	V	pass
5	17:57:27	DC	-033,2	V	pass
6	17:57:28	DC	-033,1	V	pass
7	17:57:29	DC	-033,1	V	pass
8	17:57:29	DC	-033,2	V	pass
9	17:57:30	DC	-033,2	V	pass
10	17:57:30	DC	-033,2	V	pass
11	17:57:31	DC	-033,2	V	pass
12	17:57:31	DC	-033,2	V	pass
13	17:57:32	DC	-033,2	V	pass
14	17:57:33	DC	-033,2	V	pass
15	17:57:33	DC	-033,1	V	pass
16	17:57:34	DC	-033,1	V	pass
17	17:57:35	DC	-033,1	V	pass
18	17:57:35	DC	-033,2	V	pass
19	17:57:36	DC	-033,2	V	pass
20	17:57:36	DC	-033,2	V	pass
21	17:57:37	DC	-033,2	V	pass
22	17:57:37	DC	-033,2	V	pass
23	17:57:38	DC	-033,2	V	pass
24	17:57:39	DC	-033,2	V	pass
25	17:57:39	DC	-033,3	V	pass
26	17:57:40	DC	-033,3	V	pass
27	17:57:41	DC	-033,3	V	pass
28	17:57:41	DC	-033,4	V	pass
29	17:57:42	DC	-033,4	V	pass
30	17:57:42	DC	-033,5	V	pass
31	17:57:43	DC	-033,5	V	pass
32	17:57:43	DC	-033,6	V	pass
33	17:57:44	DC	-033,6	V	pass
34	17:57:45	DC	-033,7	V	pass
35	17:57:45	DC	-033,8	V	pass
36	17:57:46	DC	-033,8	V	pass
37	17:57:47	DC	-033,8	V	pass
38	17:57:47	DC	-033,9	V	pass
39	17:57:48	DC	-034,0	V	pass
40	17:57:48	DC	-034,0	V	pass
41	17:57:49	DC	-034,1	V	pass
42	17:57:50	DC	-034,1	V	pass
43	17:57:50	DC	-034,1	V	pass
44	17:57:51	DC	-034,2	V	pass
45	17:57:51	DC	-034,2	V	pass
46	17:57:52	DC	-034,3	V	pass
47	17:57:52	DC	-034,4	V	pass
48	17:57:53	DC	-034,4	V	pass
49	17:57:54	DC	-034,5	V	pass
50	17:57:54	DC	-034,6	V	pass
51	17:57:55	DC	-034,6	V	pass
52	17:57:55	DC	-034,7	V	pass
53	17:57:56	DC	-034,7	V	pass
54	17:57:57	DC	-034,8	V	pass
55	17:57:57	DC	-034,8	V	pass
56	17:57:58	DC	-034,9	V	pass
57	17:57:58	DC	-035,0	V	pass
58	17:57:59	DC	-035,0	V	pass
59	17:57:59	DC	-035,0	V	pass
60	17:58:00	DC	-035,1	V	pass
61	17:58:01	DC	-035,1	V	pass
62	17:58:01	DC	-035,2	V	pass
63	17:58:02	DC	-035,3	V	pass
64	17:58:03	DC	-035,3	V	pass
65	17:58:03	DC	-035,3	V	pass
66	17:58:04	DC	-035,4	V	pass
67	17:58:04	DC	-035,5	V	pass
68	17:58:05	DC	-035,5	V	pass
69	17:58:05	DC	-035,6	V	pass
70	17:58:06	DC	-035,6	V	pass
71	17:58:07	DC	-035,7	V	pass
72	17:58:07	DC	-035,7	V	pass
73	17:58:08	DC	-035,8	V	pass
74	17:58:08	DC	-035,9	V	pass
75	17:58:09	DC	-035,9	V	pass
76	17:58:10	DC	-036,0	V	pass
77	17:58:10	DC	-036,0	V	pass
78	17:58:11	DC	-036,1	V	pass
79	17:58:11	DC	-036,1	V	pass
80	17:58:12	DC	-036,2	V	pass
81	17:58:13	DC	-036,2	V	pass
82	17:58:13	DC	-036,3	V	pass
83	17:58:14	DC	-036,3	V	pass
84	17:58:14	DC	-036,4	V	pass
85	17:58:15	DC	-036,4	V	pass
86	17:58:16	DC	-036,5	V	pass
87	17:58:16	DC	-036,5	V	pass
88	17:58:17	DC	-036,6	V	pass
89	17:58:17	DC	-036,6	V	pass
90	17:58:18	DC	-036,7	V	pass
91	17:58:18	DC	-036,7	V	pass
92	17:58:19	DC	-036,8	V	pass
93	17:58:20	DC	-036,9	V	pass
94	17:58:20	DC	-036,9	V	pass
95	17:58:21	DC	-037,0	V	pass
96	17:58:22	DC	-037,0	V	pass
97	17:58:22	DC	-037,1	V	pass
98	17:58:23	DC	-037,1	V	pass
99	17:58:23	DC	-037,2	V	pass
100	17:58:24	DC	-037,2	V	pass
101	17:58:25	DC	-037,3	V	pass
102	17:58:25	DC	-037,4	V	pass
103	17:58:26	DC	-037,4	V	pass
104	17:58:26	DC	-037,5	V	pass
105	17:58:27	DC	-037,5	V	pass
106	17:58:28	DC	-037,6	V	pass
107	17:58:28	DC	-037,6	V	pass
108	17:58:29	DC	-037,7	V	pass
109	17:58:29	DC	-037,8	V	pass
110	17:58:30	DC	-037,8	V	pass
111	17:58:30	DC	-037,9	V	pass
112	17:58:31	DC	-037,9	V	pass
113	17:58:32	DC	-038,0	V	pass
114	17:58:32	DC	-038,1	V	pass
115	17:58:33	DC	-038,1	V	pass
116	17:58:33	DC	-038,1	V	pass
117	17:58:34	DC	-038,2	V	pass
118	17:58:35	DC	-038,3	V	pass
119	17:58:35	DC	-038,3	V	pass
120	17:58:36	DC	-038,4	V	pass
121	17:58:36	DC	-038,4	V	pass
122	17:58:37	DC	-038,5	V	pass
123	17:58:38	DC	-038,5	V	pass
124	17:58:38	DC	-038,5	V	pass
125	17:58:39	DC	-038,6	V	pass
126	17:58:39	DC	-038,7	V	pass
127	17:58:40	DC	-038,8	V	pass
128	17:58:41	DC	-038,8	V	pass
129	17:58:41	DC	-038,8	V	pass
130	17:58:42	DC	-038,9	V	pass
131	17:58:42	DC	-038,9	V	pass
132	17:58:43	DC	-039,0	V	pass
133	17:58:43	DC	-039,0	V	pass
134	17:58:44	DC	-039,1	V	pass
135	17:58:45	DC	-039,1	V	pass
136	17:58:45	DC	-039,2	V	pass
137	17:58:46	DC	-039,2	V	pass
138	17:58:46	DC	-039,3	V	pass
139	17:58:47	DC	-039,3	V	pass
140	17:58:48	DC	-039,4	V	pass
141	17:58:48	DC	-039,5	V	pass
142	17:58:49	DC	-039,5	V	pass
143	17:58:49	DC	-039,6	V	pass
144	17:58:50	DC	-039,6	V	pass
145	17:58:51	DC	-039,7	V	pass
146	17:58:51	DC	-039,7	V	pass
147	17:58:52	DC	-039,8	V	pass
148	17:58:53	DC	-039,8	V	pass
149	17:58:53	DC	-039,9	V	pass
150	17:58:54	DC	-040,0	V	pass
151	17:58:54	DC	-040,0	V	pass
152	17:58:55	DC	-040,1	V	pass
153	17:58:55	DC	-040,1	V	pass
154	17:58:56	DC	-040,2	V	pass
155	17:58:57	DC	-040,2	V	pass
156	17:58:57	DC	-040,3	V	pass
157	17:58:58	DC	-040,4	V	pass
158	17:58:58	DC	-040,4	V	pass
159	17:58:59	DC	-040,5	V	pass
160	17:59:00	DC	-040,5	V	pass
161	17:59:00	DC	-040,6	V	pass
162	17:59:01	DC	-040,6	V	pass
163	17:59:01	DC	-040,7	V	pass
164	17:59:02	DC	-040,7	V	pass
165	17:59:03	DC	-040,8	V	pass
166	17:59:03	DC	-040,8	V	pass
167	17:59:04	DC	-040,9	V	pass
168	17:59:04	DC	-041,0	V	pass
169	17:59:05	DC	-041,0	V	pass
170	17:59:06	DC	-041,1	V	pass
171	17:59:06	DC	-041,1	V	pass
172	17:59:07	DC	-041,2	V	pass
173	17:59:07	DC	-041,2	V	pass
174	17:59:08	DC	-041,2	V	pass
175	17:59:09	DC	-041,3	V	pass
176	17:59:09	DC	-041,4	V	pass
177	17:59:10	DC	-041,5	V	pass
178	17:59:10	DC	-041,5	V	pass
179	17:59:11	DC	-041,6	V	pass
180	17:59:12	DC	-041,6	V	pass
181	17:59:12	DC	-041,7	V	pass
182	17:59:13	DC	-041,7	V	pass
183	17:59:13	DC	-041,8	V	pass
184	17:59:14	DC	-041,8	V	pass
185	17:59:15	DC	-041,9	V	pass
186	17:59:15	DC	-042,0	V	pass
187	17:59:16	DC	-042,0	V	pass
188	17:59:16	DC	-042,0	V	pass
189	17:59:17	DC	-042,1	V	pass
190	17:59:18	DC	-042,2	V	pass
191	17:59:18	DC	-042,2	V	pass
192	17:59:19	DC	-042,3	V	pass
193	17:59:19	DC	-042,3	V	pass
194	17:59:20	DC	-042,4	V	pass
195	17:59:21	DC	-042,4	V	pass
196	17:59:21	DC	-042,5	V	pass
197	17:59:22	DC	-042,5	V	pass
198	17:59:22	DC	-042,6	V	pass
199	17:59:23	DC	-042,7	V	pass
200	17:59:23	DC	-042,7	V	pass
201	17:59:24	DC	-042,8	V	pass
202	17:59:25	DC	-042,8	V	pass
203	17:59:25	DC	-042,8	V	pass
204	17:59:26	DC	-042,9	V	pass
205	17:59:27	DC	-043,0	V	pass
206	17:59:27	DC	-043,0	V	pass
207	17:59:28	DC	-043,1	V	pass
208	17:59:28	DC	-043,2	V	pass
209	17:59:29	DC	-043,2	V	pass
210	17:59:30	DC	-043,3	V	pass
211	17:59:30	DC	-043,3	V	pass
212	17:59:31	DC	-043,4	V	pass
213	17:59:32	DC	-043,4	V	pass
214	17:59:32	DC	-043,5	V	pass
215	17:59:33	DC	-043,5	V	pass
216	17:59:33	DC	-043,6	V	pass
217	17:59:34	DC	-043,7	V	pass
218	17:59:35	DC	-043,7	V	pass
219	17:59:35	DC	-043,8	V	pass
220	17:59:36	DC	-043,9	V	pass
221	17:59:36	DC	-043,9	V	pass
222	17:59:37	DC	-044,0	V	pass
223	17:59:38	DC	-044,0	V	pass
224	17:59:38	DC	-044,1	V	pass
225	17:59:39	DC	-044,1	V	pass
226	17:59:39	DC	-044,2	V	pass
227	17:59:40	DC	-044,2	V	pass
228	17:59:40	DC	-044,3	V	pass
229	17:59:41	DC	-044,3	V	pass
230	17:59:42	DC	-044,4	V	pass
231	17:59:42	DC	-044,4	V	pass
232	17:59:43	DC	-044,5	V	pass
233	17:59:43	DC	-044,5	V	pass
234	17:59:44	DC	-044,6	V	pass
235	17:59:45	DC	-044,7	V	pass
236	17:59:45	DC	-044,7	V	pass
237	17:59:46	DC	-044,8	V	pass
238	17:59:46	DC	-044,8	V	pass
239	17:59:47	DC	-044,9	V	pass
240	17:59:48	DC	-044,9	V	pass
241	17:59:48	DC	-045,0	V	pass
242	17:59:49	DC	-045,0	V	pass
243	17:59:49	DC	-045,1	V	pass
244	17:59:50	DC	-045,2	V	pass
245	17:59:51	DC	-045,2	V	pass
246	17:59:51	DC	-045,2	V	pass
247	17:59:52	DC	-045,3	V	pass
248	17:59:52	DC	-045,4	V	pass
249	17:59:53	DC	-045,4	V	pass
250	17:59:54	DC	-045,5	V	pass
251	17:59:54	DC	-045,5	V	pass
252	17:59:55	DC	-045,6	V	pass
253	17:59:56	DC	-045,6	V	pass
254	17:59:56	DC	-045,7	V	pass
255	17:59:57	DC	-045,8	V	pass
256	17:59:57	DC	-045,8	V	pass
257	17:59:58	DC	-045,9	V	pass
258	17:59:58	DC	-045,9	V	pass
259	17:59:59	DC	-046,0	V	pass
260	18:00:00	DC	-046,0	V	pass
261	18:00:00	DC	-046,1	V	pass
262	18:00:01	DC	-046,1	V	pass
263	18:00:01	DC	-046,2	V	pass
264	18:00:02	DC	-046,2	V	pass
265	18:00:03	DC	-046,3	V	pass
266	18:00:03	DC	-046,4	V	pass
267	18:00:04	DC	-046,4	V	pass
268	18:00:04	DC	-046,4	V	pass
269	18:00:05	DC	-046,5	V	pass
270	18:00:06	DC	-046,5	V	pass
271	18:00:06	DC	-046,6	V	pass
272	18:00:07	DC	-046,7	V	pass
273	18:00:07	DC	-046,7	V	pass
274	18:00:08	DC	-046,8	V	pass
275	18:00:09	DC	-046,8	V	pass
276	18:00:09	DC	-046,9	V	pass
277	18:00:10	DC	-047,0	V	pass
278	18:00:10	DC	-047,0	V	pass
279	18:00:11	DC	-047,1	V	pass
280	18:00:12	DC	-047,1	V	pass
281	18:00:12	DC	-047,2	V	pass
282	18:00:13	DC	-047,2	V	pass
283	18:00:13	DC	-047,3	V	pass
284	18:00:14	DC	-047,4	V	pass
285	18:00:15	DC	-047,4	V	pass
286	18:00:15	DC	-047,5	V	pass
287	18:00:16	DC	-047,5	V	pass
288	18:00:16	DC	-047,6	V	pass
289	18:00:17	DC	-047,6	V	pass
290	18:00:18	DC	-047,7	V	pass
291	18:00:18	DC	-047,8	V	pass
292	18:00:19	DC	-047,8	V	pass
293	18:00:19	DC	-047,9	V	pass
294	18:00:20	DC	-047,9	V	pass
295	18:00:21	DC	-048,0	V	pass
296	18:00:21	DC	-048,0	V	pass
297	18:00:22	DC	-048,1	V	pass
298	18:00:22	DC	-048,1	V	pass
299	18:00:23	DC	-048,2	V	pass
300	18:00:24	DC	-048,2	V	pass
301	18:00:24	DC	-048,3	V	pass
302	18:00:25	DC	-048,3	V	pass
303	18:00:25	DC	-048,4	V	pass
304	18:00:26	DC	-048,4	V	pass
305	18:00:27	DC	-048,5	V	pass
306	18:00:27	DC	-048,5	V	pass
307	18:00:28	DC	-048,6	V	pass
308	18:00:29	DC	-048,7	V	pass
309	18:00:29	DC	-048,7	V	pass
310	18:00:30	DC	-048,8	V	pass
311	18:00:30	DC	-048,8	V	pass
312	18:00:31	DC	-048,9	V	pass
313	18:00:31	DC	-049,0	V	pass
