No	Time	DC/AC	Value	Unit	AUTO
1	16:18:12	DC	021,8	uA	pass
2	16:18:12	DC	021,8	uA	pass
3	16:18:13	DC	021,8	uA	pass
4	16:18:14	DC	021,8	uA	pass
5	16:18:14	DC	021,8	uA	pass
6	16:18:15	DC	021,8	uA	pass
7	16:18:15	DC	021,8	uA	pass
8	16:18:16	DC	021,7	uA	pass
9	16:18:17	DC	021,8	uA	pass
10	16:18:17	DC	021,8	uA	pass
11	16:18:18	DC	021,8	uA	pass
12	16:18:18	DC	021,8	uA	pass
13	16:18:19	DC	021,9	uA	pass
14	16:18:19	DC	021,9	uA	pass
15	16:18:20	DC	021,8	uA	pass
16	16:18:21	DC	021,8	uA	pass
17	16:18:21	DC	021,8	uA	pass
18	16:18:22	DC	021,8	uA	pass
19	16:18:22	DC	021,8	uA	pass
20	16:18:23	DC	021,8	uA	pass
21	16:18:24	DC	021,8	uA	pass
22	16:18:24	DC	021,8	uA	pass
23	16:18:25	DC	021,8	uA	pass
24	16:18:25	DC	021,8	uA	pass
25	16:18:26	DC	021,8	uA	pass
26	16:18:26	DC	021,8	uA	pass
27	16:18:27	DC	021,8	uA	pass
28	16:18:28	DC	021,8	uA	pass
29	16:18:28	DC	021,8	uA	pass
30	16:18:29	DC	021,8	uA	pass
31	16:18:29	DC	021,8	uA	pass
32	16:18:30	DC	021,8	uA	pass
33	16:18:30	DC	021,8	uA	pass
34	16:18:31	DC	021,8	uA	pass
35	16:18:32	DC	021,8	uA	pass
36	16:18:32	DC	021,8	uA	pass
37	16:18:33	DC	021,8	uA	pass
38	16:18:33	DC	021,8	uA	pass
39	16:18:34	DC	021,8	uA	pass
40	16:18:35	DC	021,8	uA	pass
41	16:18:35	DC	021,8	uA	pass
42	16:18:36	DC	021,8	uA	pass
43	16:18:36	DC	021,8	uA	pass
44	16:18:37	DC	021,8	uA	pass
45	16:18:37	DC	021,7	uA	pass
46	16:18:38	DC	021,7	uA	pass
47	16:18:39	DC	021,7	uA	pass
48	16:18:39	DC	021,6	uA	pass
49	16:18:40	DC	021,6	uA	pass
50	16:18:40	DC	021,6	uA	pass
51	16:18:41	DC	021,6	uA	pass
52	16:18:41	DC	021,6	uA	pass
53	16:18:42	DC	021,5	uA	pass
54	16:18:43	DC	021,5	uA	pass
55	16:18:43	DC	021,5	uA	pass
56	16:18:44	DC	021,5	uA	pass
57	16:18:44	DC	021,5	uA	pass
58	16:18:45	DC	021,5	uA	pass
59	16:18:46	DC	021,4	uA	pass
60	16:18:46	DC	021,4	uA	pass
61	16:18:47	DC	021,4	uA	pass
62	16:18:47	DC	021,3	uA	pass
63	16:18:48	DC	021,3	uA	pass
64	16:18:48	DC	021,3	uA	pass
65	16:18:49	DC	021,2	uA	pass
66	16:18:50	DC	021,2	uA	pass
67	16:18:50	DC	021,2	uA	pass
68	16:18:51	DC	021,2	uA	pass
69	16:18:51	DC	021,2	uA	pass
70	16:18:52	DC	021,2	uA	pass
71	16:18:53	DC	021,2	uA	pass
72	16:18:53	DC	021,1	uA	pass
73	16:18:54	DC	021,1	uA	pass
74	16:18:54	DC	021,1	uA	pass
75	16:18:55	DC	021,1	uA	pass
76	16:18:55	DC	021,0	uA	pass
77	16:18:56	DC	021,0	uA	pass
78	16:18:57	DC	021,0	uA	pass
79	16:18:57	DC	020,9	uA	pass
80	16:18:58	DC	020,9	uA	pass
81	16:18:58	DC	020,9	uA	pass
82	16:18:59	DC	020,9	uA	pass
83	16:19:00	DC	020,8	uA	pass
84	16:19:00	DC	020,8	uA	pass
85	16:19:01	DC	020,8	uA	pass
86	16:19:01	DC	020,8	uA	pass
87	16:19:02	DC	020,7	uA	pass
88	16:19:02	DC	020,7	uA	pass
89	16:19:03	DC	020,7	uA	pass
90	16:19:04	DC	020,6	uA	pass
91	16:19:04	DC	020,6	uA	pass
92	16:19:05	DC	020,6	uA	pass
93	16:19:05	DC	020,6	uA	pass
94	16:19:06	DC	020,6	uA	pass
95	16:19:06	DC	020,6	uA	pass
96	16:19:07	DC	020,5	uA	pass
97	16:19:08	DC	020,5	uA	pass
98	16:19:08	DC	020,5	uA	pass
99	16:19:09	DC	020,5	uA	pass
100	16:19:09	DC	020,4	uA	pass
101	16:19:10	DC	020,4	uA	pass
102	16:19:11	DC	020,3	uA	pass
103	16:19:11	DC	020,3	uA	pass
104	16:19:12	DC	020,3	uA	pass
105	16:19:12	DC	020,2	uA	pass
106	16:19:13	DC	020,2	uA	pass
107	16:19:13	DC	020,2	uA	pass
108	16:19:14	DC	020,2	uA	pass
109	16:19:15	DC	020,1	uA	pass
110	16:19:15	DC	020,1	uA	pass
111	16:19:16	DC	020,1	uA	pass
112	16:19:16	DC	020,1	uA	pass
113	16:19:17	DC	020,0	uA	pass
114	16:19:18	DC	020,0	uA	pass
115	16:19:18	DC	020,0	uA	pass
116	16:19:19	DC	020,0	uA	pass
117	16:19:19	DC	019,9	uA	pass
118	16:19:20	DC	019,8	uA	pass
119	16:19:21	DC	019,8	uA	pass
120	16:19:21	DC	019,8	uA	pass
121	16:19:22	DC	019,8	uA	pass
122	16:19:22	DC	019,8	uA	pass
123	16:19:23	DC	019,7	uA	pass
124	16:19:23	DC	019,7	uA	pass
125	16:19:24	DC	019,7	uA	pass
126	16:19:25	DC	019,7	uA	pass
127	16:19:25	DC	019,6	uA	pass
128	16:19:26	DC	019,5	uA	pass
129	16:19:26	DC	019,5	uA	pass
130	16:19:27	DC	019,5	uA	pass
131	16:19:28	DC	019,5	uA	pass
132	16:19:28	DC	019,4	uA	pass
133	16:19:29	DC	019,4	uA	pass
134	16:19:29	DC	019,3	uA	pass
135	16:19:30	DC	019,3	uA	pass
136	16:19:30	DC	019,3	uA	pass
137	16:19:31	DC	019,3	uA	pass
138	16:19:32	DC	019,3	uA	pass
139	16:19:32	DC	019,2	uA	pass
140	16:19:33	DC	019,2	uA	pass
141	16:19:33	DC	019,2	uA	pass
142	16:19:34	DC	019,1	uA	pass
143	16:19:35	DC	019,0	uA	pass
144	16:19:35	DC	019,0	uA	pass
145	16:19:36	DC	019,0	uA	pass
146	16:19:36	DC	018,9	uA	pass
147	16:19:37	DC	018,9	uA	pass
148	16:19:37	DC	018,8	uA	pass
149	16:19:38	DC	018,8	uA	pass
150	16:19:39	DC	018,8	uA	pass
151	16:19:39	DC	018,8	uA	pass
152	16:19:40	DC	018,7	uA	pass
153	16:19:40	DC	018,6	uA	pass
154	16:19:41	DC	018,6	uA	pass
155	16:19:42	DC	018,5	uA	pass
156	16:19:42	DC	018,5	uA	pass
157	16:19:43	DC	018,5	uA	pass
158	16:19:43	DC	018,5	uA	pass
159	16:19:44	DC	018,4	uA	pass
160	16:19:44	DC	018,3	uA	pass
161	16:19:45	DC	018,3	uA	pass
162	16:19:46	DC	018,3	uA	pass
163	16:19:46	DC	018,2	uA	pass
164	16:19:47	DC	018,1	uA	pass
165	16:19:47	DC	018,1	uA	pass
166	16:19:48	DC	018,0	uA	pass
167	16:19:49	DC	017,9	uA	pass
168	16:19:49	DC	017,9	uA	pass
169	16:19:50	DC	017,8	uA	pass
170	16:19:50	DC	017,7	uA	pass
171	16:19:51	DC	017,7	uA	pass
172	16:19:51	DC	017,7	uA	pass
173	16:19:52	DC	017,6	uA	pass
174	16:19:52	DC	017,6	uA	pass
175	16:19:53	DC	017,5	uA	pass
176	16:19:54	DC	017,5	uA	pass
177	16:19:54	DC	017,4	uA	pass
178	16:19:55	DC	017,3	uA	pass
