No	Time	DC/AC	Value	Unit	AUTO
1	17:34:06	DC	-032,5	V	pass
2	17:34:06	DC	-032,5	V	pass
3	17:34:07	DC	-032,5	V	pass
4	17:34:08	DC	-032,5	V	pass
5	17:34:08	DC	-032,5	V	pass
6	17:34:09	DC	-032,5	V	pass
7	17:34:09	DC	-032,5	V	pass
8	17:34:10	DC	-032,5	V	pass
9	17:34:11	DC	-032,5	V	pass
10	17:34:11	DC	-032,5	V	pass
11	17:34:12	DC	-032,5	V	pass
12	17:34:13	DC	-032,6	V	pass
13	17:34:13	DC	-032,6	V	pass
14	17:34:14	DC	-032,7	V	pass
15	17:34:14	DC	-032,7	V	pass
16	17:34:15	DC	-032,8	V	pass
17	17:34:16	DC	-032,8	V	pass
18	17:34:16	DC	-032,9	V	pass
19	17:34:17	DC	-032,9	V	pass
20	17:34:17	DC	-033,0	V	pass
21	17:34:18	DC	-033,0	V	pass
22	17:34:19	DC	-033,1	V	pass
23	17:34:19	DC	-033,1	V	pass
24	17:34:20	DC	-033,1	V	pass
25	17:34:20	DC	-033,2	V	pass
26	17:34:21	DC	-033,3	V	pass
27	17:34:22	DC	-033,3	V	pass
28	17:34:22	DC	-033,4	V	pass
29	17:34:23	DC	-033,4	V	pass
30	17:34:23	DC	-033,4	V	pass
31	17:34:24	DC	-033,5	V	pass
32	17:34:25	DC	-033,6	V	pass
33	17:34:25	DC	-033,6	V	pass
34	17:34:26	DC	-033,7	V	pass
35	17:34:26	DC	-033,8	V	pass
36	17:34:27	DC	-033,8	V	pass
37	17:34:28	DC	-033,9	V	pass
38	17:34:28	DC	-033,9	V	pass
39	17:34:29	DC	-033,9	V	pass
40	17:34:29	DC	-034,0	V	pass
41	17:34:30	DC	-034,1	V	pass
42	17:34:31	DC	-034,2	V	pass
43	17:34:31	DC	-034,2	V	pass
44	17:34:32	DC	-034,2	V	pass
45	17:34:32	DC	-034,3	V	pass
46	17:34:33	DC	-034,3	V	pass
47	17:34:34	DC	-034,4	V	pass
48	17:34:34	DC	-034,5	V	pass
49	17:34:35	DC	-034,5	V	pass
50	17:34:35	DC	-034,6	V	pass
51	17:34:36	DC	-034,6	V	pass
52	17:34:37	DC	-034,7	V	pass
53	17:34:37	DC	-034,7	V	pass
54	17:34:38	DC	-034,8	V	pass
55	17:34:38	DC	-034,8	V	pass
56	17:34:39	DC	-034,9	V	pass
57	17:34:40	DC	-035,0	V	pass
58	17:34:40	DC	-035,0	V	pass
59	17:34:41	DC	-035,0	V	pass
60	17:34:41	DC	-035,1	V	pass
61	17:34:42	DC	-035,2	V	pass
62	17:34:43	DC	-035,2	V	pass
63	17:34:43	DC	-035,2	V	pass
64	17:34:44	DC	-035,3	V	pass
65	17:34:44	DC	-035,4	V	pass
66	17:34:45	DC	-035,4	V	pass
67	17:34:45	DC	-035,5	V	pass
68	17:34:46	DC	-035,5	V	pass
69	17:34:47	DC	-035,5	V	pass
70	17:34:47	DC	-035,6	V	pass
71	17:34:48	DC	-035,7	V	pass
72	17:34:48	DC	-035,7	V	pass
73	17:34:49	DC	-035,8	V	pass
74	17:34:50	DC	-035,8	V	pass
75	17:34:50	DC	-035,9	V	pass
76	17:34:51	DC	-035,9	V	pass
77	17:34:51	DC	-036,0	V	pass
78	17:34:52	DC	-036,0	V	pass
79	17:34:53	DC	-036,1	V	pass
80	17:34:53	DC	-036,1	V	pass
81	17:34:54	DC	-036,2	V	pass
82	17:34:54	DC	-036,2	V	pass
83	17:34:55	DC	-036,3	V	pass
84	17:34:55	DC	-036,3	V	pass
85	17:34:56	DC	-036,4	V	pass
86	17:34:57	DC	-036,5	V	pass
87	17:34:57	DC	-036,5	V	pass
88	17:34:58	DC	-036,6	V	pass
89	17:34:58	DC	-036,6	V	pass
90	17:34:59	DC	-036,7	V	pass
91	17:35:00	DC	-036,7	V	pass
92	17:35:00	DC	-036,8	V	pass
93	17:35:01	DC	-036,8	V	pass
94	17:35:01	DC	-036,9	V	pass
95	17:35:02	DC	-037,0	V	pass
96	17:35:03	DC	-037,0	V	pass
97	17:35:03	DC	-037,0	V	pass
98	17:35:04	DC	-037,1	V	pass
99	17:35:04	DC	-037,1	V	pass
100	17:35:05	DC	-037,2	V	pass
101	17:35:05	DC	-037,3	V	pass
102	17:35:06	DC	-037,3	V	pass
103	17:35:07	DC	-037,3	V	pass
104	17:35:07	DC	-037,4	V	pass
105	17:35:08	DC	-037,4	V	pass
106	17:35:08	DC	-037,5	V	pass
107	17:35:09	DC	-037,6	V	pass
108	17:35:10	DC	-037,6	V	pass
109	17:35:10	DC	-037,7	V	pass
110	17:35:11	DC	-037,8	V	pass
111	17:35:12	DC	-037,8	V	pass
112	17:35:12	DC	-037,9	V	pass
113	17:35:13	DC	-037,9	V	pass
114	17:35:13	DC	-038,0	V	pass
115	17:35:14	DC	-038,0	V	pass
116	17:35:14	DC	-038,1	V	pass
117	17:35:15	DC	-038,1	V	pass
118	17:35:16	DC	-038,2	V	pass
119	17:35:16	DC	-038,2	V	pass
120	17:35:17	DC	-038,3	V	pass
121	17:35:17	DC	-038,3	V	pass
122	17:35:18	DC	-038,4	V	pass
123	17:35:19	DC	-038,4	V	pass
124	17:35:19	DC	-038,5	V	pass
125	17:35:20	DC	-038,5	V	pass
126	17:35:20	DC	-038,6	V	pass
127	17:35:21	DC	-038,6	V	pass
128	17:35:21	DC	-038,7	V	pass
129	17:35:22	DC	-038,7	V	pass
130	17:35:23	DC	-038,8	V	pass
131	17:35:23	DC	-038,9	V	pass
132	17:35:24	DC	-038,9	V	pass
133	17:35:24	DC	-039,0	V	pass
134	17:35:25	DC	-039,0	V	pass
135	17:35:26	DC	-039,1	V	pass
136	17:35:26	DC	-039,1	V	pass
137	17:35:27	DC	-039,2	V	pass
138	17:35:27	DC	-039,2	V	pass
139	17:35:28	DC	-039,3	V	pass
140	17:35:29	DC	-039,4	V	pass
141	17:35:29	DC	-039,4	V	pass
142	17:35:30	DC	-039,4	V	pass
143	17:35:30	DC	-039,5	V	pass
144	17:35:31	DC	-039,6	V	pass
