# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.899135656274231E+001 4.367587865322952E+001 
1.500375000000000E+009 -5.925950546937908E+001 4.359931276612460E+001 
1.500750000000000E+009 -5.881162273215828E+001 4.462124419877843E+001 
1.501125000000000E+009 -5.899861922119383E+001 4.413597474975507E+001 
1.501500000000000E+009 -5.888272677377065E+001 4.340874073541699E+001 
1.501875000000000E+009 -5.915993807629101E+001 4.434222294689427E+001 
1.502250000000000E+009 -5.895249828179103E+001 4.251427015655838E+001 
1.502625000000000E+009 -5.870569492187415E+001 4.302529836203768E+001 
1.503000000000000E+009 -5.869536070778083E+001 4.181862167066222E+001 
1.503375000000000E+009 -5.872463252197516E+001 4.092247271651026E+001 
1.503750000000000E+009 -5.874969707607023E+001 4.140648486774833E+001 
1.504125000000000E+009 -5.860227877520151E+001 4.173808678861463E+001 
1.504500000000000E+009 -5.834245626485426E+001 4.090835534260106E+001 
1.504875000000000E+009 -5.840318565270204E+001 4.226903275596886E+001 
1.505250000000000E+009 -5.837989308521004E+001 3.962548290056736E+001 
1.505625000000000E+009 -5.828419753743638E+001 3.938160419372039E+001 
1.506000000000000E+009 -5.807259668667839E+001 4.019121589842665E+001 
1.506375000000000E+009 -5.808661695485890E+001 3.835534957423512E+001 
1.506750000000000E+009 -5.807874401916197E+001 3.795546467111068E+001 
1.507125000000000E+009 -5.796729911333195E+001 3.858882817684451E+001 
1.507500000000000E+009 -5.774224599712293E+001 3.851431715035712E+001 
1.507875000000000E+009 -5.809576741341615E+001 3.719082482640778E+001 
1.508250000000000E+009 -5.757364222990907E+001 3.680511743004291E+001 
1.508625000000000E+009 -5.752717246800027E+001 3.702345295678213E+001 
1.509000000000000E+009 -5.747241654932202E+001 3.689916103441007E+001 
1.509375000000000E+009 -5.738003168784299E+001 3.643605726386076E+001 
1.509750000000000E+009 -5.749716187580290E+001 3.671644348126880E+001 
1.510125000000000E+009 -5.735064067230294E+001 3.497625638387981E+001 
1.510500000000000E+009 -5.755706001872641E+001 3.562398523027392E+001 
1.510875000000000E+009 -5.726833786230759E+001 3.478782719311944E+001 
1.511250000000000E+009 -5.726559019739065E+001 3.488033588462836E+001 
1.511625000000000E+009 -5.707044919138830E+001 3.544006011642009E+001 
1.512000000000000E+009 -5.719028764091912E+001 3.321026386137117E+001 
1.512375000000000E+009 -5.715255184281948E+001 3.239798031963635E+001 
1.512750000000000E+009 -5.711368263506592E+001 3.205953445077609E+001 
1.513125000000000E+009 -5.670038293016112E+001 3.108241790600788E+001 
1.513500000000000E+009 -5.692804321216568E+001 3.012432754608467E+001 
1.513875000000000E+009 -5.667099325270356E+001 3.308643978509603E+001 
1.514250000000000E+009 -5.674642797412749E+001 3.051121857046389E+001 
1.514625000000000E+009 -5.681334215303571E+001 3.006237319749350E+001 
1.515000000000000E+009 -5.661608685043699E+001 3.108162175976608E+001 
1.515375000000000E+009 -5.653398225356897E+001 3.074864445622998E+001 
1.515750000000000E+009 -5.620095626890193E+001 2.942014483583821E+001 
1.516125000000000E+009 -5.629149369279725E+001 2.965929377987732E+001 
1.516500000000000E+009 -5.650383148774718E+001 2.888828643275070E+001 
1.516875000000000E+009 -5.620960868703741E+001 2.804991785690978E+001 
1.517250000000000E+009 -5.626218002967315E+001 2.660651218898006E+001 
1.517625000000000E+009 -5.587225129268851E+001 2.762713509488031E+001 
1.518000000000000E+009 -5.599147231011100E+001 2.815683430133494E+001 
1.518375000000000E+009 -5.602053662865435E+001 2.548049735440436E+001 
1.518750000000000E+009 -5.636252713862439E+001 2.766481143294195E+001 
1.519125000000000E+009 -5.584332498548973E+001 2.559435104227688E+001 
1.519500000000000E+009 -5.616626657722056E+001 2.434378361642047E+001 
1.519875000000000E+009 -5.574975297264259E+001 2.693783584188783E+001 
1.520250000000000E+009 -5.582736865093626E+001 2.575996743155269E+001 
1.520625000000000E+009 -5.563286001725513E+001 2.477747502548413E+001 
1.521000000000000E+009 -5.547306536915580E+001 2.601542044585056E+001 
1.521375000000000E+009 -5.567507247588680E+001 2.625129030404441E+001 
1.521750000000000E+009 -5.542530340661907E+001 2.408754226048190E+001 
1.522125000000000E+009 -5.534756669966735E+001 2.451560865949215E+001 
1.522500000000000E+009 -5.519994550477530E+001 2.317990331400410E+001 
1.522875000000000E+009 -5.528959039187121E+001 2.293305605255035E+001 
1.523250000000000E+009 -5.509451220736877E+001 2.380997606114646E+001 
1.523625000000000E+009 -5.525367634615625E+001 2.134639518771116E+001 
1.524000000000000E+009 -5.515503442312614E+001 2.029352325931501E+001 
1.524375000000000E+009 -5.509751375105725E+001 2.044917414011583E+001 
1.524750000000000E+009 -5.522843756098734E+001 2.170548760340074E+001 
1.525125000000000E+009 -5.470752096381348E+001 1.923828036361821E+001 
1.525500000000000E+009 -5.500419862226459E+001 2.252117402121759E+001 
1.525875000000000E+009 -5.486803615109142E+001 1.884301317025455E+001 
1.526250000000000E+009 -5.490743600522464E+001 1.992807483145883E+001 
1.526625000000000E+009 -5.476460386499000E+001 2.142167828811929E+001 
1.527000000000000E+009 -5.465864737486403E+001 2.067337078911855E+001 
1.527375000000000E+009 -5.464498682156554E+001 1.836442637065894E+001 
1.527750000000000E+009 -5.451001400217381E+001 1.846312992220331E+001 
1.528125000000000E+009 -5.494089267625493E+001 1.822152563758251E+001 
1.528500000000000E+009 -5.429001909416177E+001 1.734529935122563E+001 
1.528875000000000E+009 -5.448751071949076E+001 1.815326716539623E+001 
