No	Time	DC/AC	Value	Unit	AUTO
1	16:57:18	DC	-030,5	V	pass
2	16:57:19	DC	-030,5	V	pass
3	16:57:20	DC	-030,5	V	pass
4	16:57:20	DC	-030,5	V	pass
5	16:57:21	DC	-030,5	V	pass
6	16:57:21	DC	-030,5	V	pass
7	16:57:22	DC	-030,5	V	pass
8	16:57:23	DC	-030,5	V	pass
9	16:57:23	DC	-030,5	V	pass
10	16:57:24	DC	-030,5	V	pass
11	16:57:24	DC	-030,5	V	pass
12	16:57:25	DC	-030,5	V	pass
13	16:57:26	DC	-030,6	V	pass
14	16:57:26	DC	-030,6	V	pass
15	16:57:27	DC	-030,6	V	pass
16	16:57:27	DC	-030,7	V	pass
17	16:57:28	DC	-030,8	V	pass
18	16:57:29	DC	-030,8	V	pass
19	16:57:29	DC	-030,8	V	pass
20	16:57:30	DC	-030,9	V	pass
21	16:57:30	DC	-030,9	V	pass
22	16:57:31	DC	-031,0	V	pass
23	16:57:32	DC	-031,0	V	pass
24	16:57:32	DC	-031,1	V	pass
25	16:57:33	DC	-031,1	V	pass
26	16:57:33	DC	-031,2	V	pass
27	16:57:34	DC	-031,2	V	pass
28	16:57:35	DC	-031,3	V	pass
29	16:57:35	DC	-031,3	V	pass
30	16:57:36	DC	-031,4	V	pass
31	16:57:36	DC	-031,4	V	pass
32	16:57:37	DC	-031,4	V	pass
33	16:57:38	DC	-031,5	V	pass
34	16:57:38	DC	-031,5	V	pass
35	16:57:39	DC	-031,6	V	pass
36	16:57:39	DC	-031,6	V	pass
37	16:57:40	DC	-031,7	V	pass
38	16:57:41	DC	-031,7	V	pass
39	16:57:41	DC	-031,8	V	pass
40	16:57:42	DC	-031,8	V	pass
41	16:57:42	DC	-031,9	V	pass
42	16:57:43	DC	-031,9	V	pass
43	16:57:44	DC	-032,0	V	pass
44	16:57:44	DC	-032,1	V	pass
45	16:57:45	DC	-032,1	V	pass
46	16:57:45	DC	-032,2	V	pass
47	16:57:46	DC	-032,2	V	pass
48	16:57:47	DC	-032,2	V	pass
49	16:57:47	DC	-032,3	V	pass
50	16:57:48	DC	-032,4	V	pass
51	16:57:48	DC	-032,4	V	pass
52	16:57:49	DC	-032,5	V	pass
53	16:57:50	DC	-032,5	V	pass
54	16:57:50	DC	-032,5	V	pass
55	16:57:51	DC	-032,6	V	pass
56	16:57:52	DC	-032,7	V	pass
57	16:57:52	DC	-032,7	V	pass
58	16:57:53	DC	-032,8	V	pass
59	16:57:53	DC	-032,8	V	pass
60	16:57:54	DC	-032,8	V	pass
61	16:57:54	DC	-032,9	V	pass
62	16:57:55	DC	-033,0	V	pass
63	16:57:56	DC	-033,0	V	pass
64	16:57:56	DC	-033,0	V	pass
65	16:57:57	DC	-033,1	V	pass
66	16:57:57	DC	-033,2	V	pass
67	16:57:58	DC	-033,2	V	pass
68	16:57:59	DC	-033,3	V	pass
69	16:57:59	DC	-033,3	V	pass
70	16:58:00	DC	-033,3	V	pass
71	16:58:00	DC	-033,4	V	pass
72	16:58:01	DC	-033,5	V	pass
73	16:58:02	DC	-033,5	V	pass
74	16:58:02	DC	-033,5	V	pass
75	16:58:03	DC	-033,6	V	pass
76	16:58:04	DC	-033,7	V	pass
77	16:58:04	DC	-033,7	V	pass
78	16:58:05	DC	-033,8	V	pass
79	16:58:05	DC	-033,8	V	pass
80	16:58:06	DC	-033,9	V	pass
81	16:58:06	DC	-033,9	V	pass
82	16:58:07	DC	-034,0	V	pass
83	16:58:08	DC	-034,0	V	pass
