No	Time	DC/AC	Value	Unit	AUTO
1	17:57:27	DC	-064,9	uA	pass
2	17:57:28	DC	-064,8	uA	pass
3	17:57:29	DC	-064,7	uA	pass
4	17:57:29	DC	-064,6	uA	pass
5	17:57:30	DC	-064,5	uA	pass
6	17:57:30	DC	-064,4	uA	pass
7	17:57:31	DC	-064,3	uA	pass
8	17:57:31	DC	-064,2	uA	pass
9	17:57:32	DC	-064,1	uA	pass
10	17:57:33	DC	-064,1	uA	pass
11	17:57:33	DC	-064,0	uA	pass
12	17:57:34	DC	-063,9	uA	pass
13	17:57:34	DC	-063,8	uA	pass
14	17:57:35	DC	-063,8	uA	pass
15	17:57:35	DC	-063,7	uA	pass
16	17:57:36	DC	-063,7	uA	pass
17	17:57:36	DC	-063,6	uA	pass
18	17:57:37	DC	-063,6	uA	pass
19	17:57:38	DC	-063,5	uA	pass
20	17:57:38	DC	-063,3	uA	pass
21	17:57:39	DC	-062,7	uA	pass
22	17:57:40	DC	-062,3	uA	pass
23	17:57:40	DC	-061,7	uA	pass
24	17:57:41	DC	-061,1	uA	pass
25	17:57:41	DC	-060,7	uA	pass
26	17:57:42	DC	-060,2	uA	pass
27	17:57:42	DC	-059,6	uA	pass
28	17:57:43	DC	-059,3	uA	pass
29	17:57:44	DC	-058,8	uA	pass
30	17:57:44	DC	-058,3	uA	pass
31	17:57:45	DC	-058,0	uA	pass
32	17:57:45	DC	-057,5	uA	pass
33	17:57:46	DC	-057,0	uA	pass
34	17:57:46	DC	-056,7	uA	pass
35	17:57:47	DC	-056,2	uA	pass
36	17:57:48	DC	-056,0	uA	pass
37	17:57:48	DC	-055,5	uA	pass
38	17:57:49	DC	-054,9	uA	pass
39	17:57:49	DC	-054,4	uA	pass
40	17:57:50	DC	-054,1	uA	pass
41	17:57:50	DC	-053,7	uA	pass
42	17:57:51	DC	-053,4	uA	pass
43	17:57:52	DC	-052,8	uA	pass
44	17:57:52	DC	-052,3	uA	pass
45	17:57:53	DC	-051,8	uA	pass
46	17:57:53	DC	-051,6	uA	pass
47	17:57:54	DC	-051,1	uA	pass
48	17:57:55	DC	-050,6	uA	pass
49	17:57:55	DC	-050,4	uA	pass
50	17:57:56	DC	-049,9	uA	pass
51	17:57:56	DC	-049,4	uA	pass
